complaint_id,language,region,complaint_text,translated_text_en,category,sentiment,urgency,order_id,amount_inr,channel,reply
CMP00011,Hindi,Jaipur,जो साड़ी मैंने मंगवाई थी उसका कपड़ा बहुत ही घटिया क्वालिटी का है। फोटो में ये सिल्क दिख रही थी पर असल में ये प्लास्टिक जैसा कुछ है। मुझे अपना पूरा पैसा वापस चाहिए। आपके स्टोर से ये मेरी आखिरी शॉपिंग है।,"The saree I ordered has very poor quality fabric. It looked like silk in the photo but in reality, it is something like plastic. I want my full money back. This is my last shopping from your store.",product_quality,negative,medium,ORD443,3500,App,हमें दुख है कि आपको साड़ी पसंद नहीं आई। हम आपका रिटर्न और रिफंड स्वीकार कर रहे हैं।
CMP00012,Hindi,Indore,गैस सिलेंडर बुक किए हुए एक हफ्ता हो गया है पर अभी तक कोई नहीं आया। फोन करने पर एजेंसी वाले जवाब नहीं देते। घर में खाना नहीं बन पा रहा है। क्या आप लोग अपनी सर्विस सुधारेंगे?,It has been a week since I booked the gas cylinder but no one has come yet. The agency doesn't answer when called. Food cannot be cooked at home. Will you people improve your service?,service_issue,negative,high,GAS771,1150,Web,अत्यधिक बुकिंग के कारण देरी हुई है। आपका सिलेंडर कल सुबह तक डिलीवर हो जाएगा।
CMP00013,Hindi,Bhopal,मेरे क्रेडिट कार्ड का बिल गलत आया है। मैंने पिछले महीने कार्ड इस्तेमाल ही नहीं किया फिर भी 500 रुपये लेट फीस लगा दी गई है। ये सरासर लूट है। इसे तुरंत हटाइए वरना मैं अपना कार्ड बंद करवा दूँगा।,My credit card bill is incorrect. I didn't even use the card last month yet 500 rupees late fee has been charged. This is sheer robbery. Remove it immediately or I will close my card.,banking_issue,negative,high,CRD002,500,Phone,हम शुल्कों की समीक्षा कर रहे हैं। यदि यह गलत पाया गया तो इसे वापस कर दिया जाएगा।
CMP00014,Hindi,Ranchi,आपका डिलीवरी बॉय मेरे घर का रास्ता नहीं ढूंढ पा रहा और ऊपर से मुझ पर ही चिल्ला रहा है। उसने कहा कि वो पार्सल वापस ले जाएगा। ये कैसा व्यवहार है? मुझे मेरा सामान आज ही चाहिए।,"Your delivery boy cannot find my house and on top of that, he is shouting at me. He said he would take the parcel back. What kind of behavior is this? I want my items today.",delivery_personnel,negative,medium,ORD119,800,Chat,हम आपसे संपर्क करने की कोशिश कर रहे हैं। डिलीवरी आज ही सुनिश्चित की जाएगी।
CMP00015,Hinglish,Gurgaon,Yaar mera refund kyun nahi aa raha? Ek mahina ho gaya watch return kiye huye. Support pe koi sahi jawab nahi deta. Aisa lag raha hai ki mera paisa phas gaya hai. Please ise jaldi process kar do.,Why is my refund not coming? It has been a month since I returned the watch. No one on support gives a proper answer. It feels like my money is stuck. Please process it quickly.,payment_issue,negative,high,ORD3341,4500,WhatsApp,"Hum maafi chahte hain. Refund request technical error ki wajah se stuck thi, ab process ho gayi hai."
CMP00016,Hinglish,Noida,Mera internet kal se band hai aur main work from home nahi kar paa raha hoon. Customer care calls pick nahi kar raha. Mera manager mujh par gussa ho raha hai. Isko aaj hi theek karo varna connection kaat do.,My internet has been down since yesterday and I am unable to work from home. Customer care is not picking up calls. My manager is getting angry with me. Fix it today or cancel the connection.,technical_issue,negative,high,NET005,1200,Phone,"Humein khed hai. Aapke area mein maintenance chal raha hai, shaam tak theek ho jayega."
CMP00017,Hinglish,Chandigarh,App pe dikha raha hai ki order deliver ho gaya par mujhe kuch nahi mila. Security guard ke paas bhi koi parcel nahi hai. Kisko de diya mera samaan? Ye bahut badi laparwahi hai.,The app shows that the order has been delivered but I haven't received anything. Even the security guard doesn't have any parcel. Who did you give my items to? This is a huge negligence.,delivery_issue,negative,high,ORD228,2100,App,Hum delivery executive se confirm kar rahe hain. Agar galat deliver hua toh hum naya bhejenge.
CMP00018,Hinglish,Surat,Bhai maine red color ki t-shirt mangayi thi par aapne green bhej di. Size bhi XL ki jagah small hai. Itni badi company hokar aisi mistakes kaise kar sakte ho? Please mera exchange request approve karo.,I ordered a red color t-shirt but you sent green. The size is also small instead of XL. How can such a big company make these mistakes? Please approve my exchange request.,product_issue,negative,medium,ORD991,600,Chat,"Maafi chahte hain mix-up ke liye. Exchange request approve ho gayi hai, kal pickup hoga."
CMP00019,Hinglish,Ludhiana,Mera UPI payment fail ho gaya shop pe aur mere 5000 rupees cut gaye. Shopkeeper keh raha hai ki usko nahi mile. Main wahan aadhe ghante se khada hoon. Please jaldi refund karo.,My UPI payment failed at the shop and my 5000 rupees were deducted. The shopkeeper says he didn't get it. I have been standing there for half an hour. Please refund quickly.,payment_failure,negative,high,TXN882,5000,App,"Don't worry, bank 3-5 din mein auto-refund kar dega agar shopkeeper ko nahi mila."
CMP00020,Hinglish,Kochi,Mera parcel Noida mein hi stuck hai pichle 4 din se. Delivery date nikal gayi par status update nahi ho raha. Agar kal tak nahi aaya toh mujhe cancel karna padega. Bahut slow service hai.,"My parcel is stuck in Noida for the last 4 days. The delivery date has passed but the status is not updating. If it doesn't arrive by tomorrow, I will have to cancel. Very slow service.",delivery_delay,negative,medium,ORD0012,1500,Web,Logistics delay ki wajah se deri hui hai. Parcel kal tak aapke sheher pahunch jayega.
CMP00021,English,Bangalore,I have been waiting for my refund for over 15 days now. The customer service executive promised it would be credited in 3 days. This is highly unprofessional and I am losing my patience.,I have been waiting for my refund for over 15 days now. The customer service executive promised it would be credited in 3 days. This is highly unprofessional and I am losing my patience.,Refund,Negative,High,ORD99212,4500,Chat,We apologize for the delay. We are looking into your refund status immediately.
CMP00022,Hindi,Delhi,मैंने कल शाम को एक ट्रांजेक्शन किया था लेकिन पैसे कट गए और टिकट बुक नहीं हुई। कृपया मेरे पैसे वापस करें या टिकट कन्फर्म करें। मुझे आज रात यात्रा करनी है।,I made a transaction yesterday evening but the money was deducted and the ticket was not booked. Please refund my money or confirm the ticket. I have to travel tonight.,Payment,Negative,High,TXN55011,1200,App,असुविधा के लिए खेद है। आपका रिफंड प्रोसेस कर दिया गया है और 2 दिन में मिल जाएगा।
CMP00023,Hinglish,Mumbai,Bhai mera order abhi tak deliver nahi hua hai. App pe dikha raha hai ki delivery boy nikal gaya par koi call nahi aaya. Ye bahut ghatiya service hai.,"Brother, my order has not been delivered yet. The app shows the delivery boy has left but I received no call. This is very poor service.",Delivery,Negative,High,ORD88273,850,Call,We are sorry. We are contacting the delivery partner to expedite your order.
CMP00024,English,Hyderabad,The laptop I received yesterday has a cracked screen and the box was already tampered with. I want a replacement immediately or I will file a consumer court complaint. This is unacceptable for a premium product.,The laptop I received yesterday has a cracked screen and the box was already tampered with. I want a replacement immediately or I will file a consumer court complaint. This is unacceptable for a premium product.,Product Quality,Negative,High,ORD44102,65000,Email,We are extremely sorry for the damage. A replacement request has been raised.
CMP00025,Hindi,Jaipur,मैंने जो साड़ी मंगवाई थी उसका रंग बिलकुल अलग है। वेबसाइट पर फोटो में यह लाल दिख रही थी पर मुझे भूरे रंग की मिली है। मुझे इसे तुरंत बदलना है।,The saree I ordered is of a completely different color. It looked red in the photo on the website but I received a brown one. I want to exchange it immediately.,Product Quality,Neutral,Medium,ORD33918,2200,App,रंग में अंतर के लिए माफी चाहते हैं। आप ऐप के माध्यम से एक्सचेंज रिक्वेस्ट डाल सकते हैं।
CMP00026,Hinglish,Pune,Mera internet kal se band hai aur customer care pe koi utha nahi raha. Work from home kaise karunga agar net nahi chalega? Jaldi fix karo yaar.,My internet is down since yesterday and nobody is picking up at customer care. How will I work from home if the net is not working? Please fix it quickly.,Service,Negative,High,UID99021,1500,Call,We understand your urgency. A technician has been assigned to your area.
CMP00027,English,Chennai,"I was charged twice for the same UPI transaction at the grocery store. The first one failed but money was deducted, and then I had to pay again. Please revert the first deduction of 950 rupees.","I was charged twice for the same UPI transaction at the grocery store. The first one failed but money was deducted, and then I had to pay again. Please revert the first deduction of 950 rupees.",Payment,Negative,Medium,TXN11204,950,Chat,The failed transaction amount will be automatically reversed to your bank in 5-7 days.
CMP00028,Hindi,Lucknow,आपका ऐप बार-बार क्रैश हो रहा है जब मैं पेमेंट करने की कोशिश करता हूँ। मैंने अपना फोन रीस्टार्ट किया लेकिन फिर भी वही समस्या है। बहुत परेशानी हो रही है।,Your app keeps crashing whenever I try to make a payment. I restarted my phone but the same problem persists. It is causing a lot of trouble.,Technical,Negative,Medium,APP0012,0,Email,असुविधा के लिए हमें खेद है। कृपया ऐप को लेटेस्ट वर्जन पर अपडेट करें।
CMP00029,Hinglish,Ahmedabad,"Zomato wale ne khana thanda deliver kiya aur packing bhi khuli hui thi. Main ye khana nahi kha sakta, mujhe full refund chahiye abhi ke abhi.","The Zomato guy delivered cold food and the packing was also open. I cannot eat this food, I want a full refund right now.",Delivery,Negative,High,ORD77122,540,Chat,We regret the poor experience. A full refund has been initiated to your wallet.
CMP00030,English,Kolkata,My credit card has been blocked without any prior notification. I am currently at a petrol pump and I am unable to make the payment. This is extremely embarrassing.,My credit card has been blocked without any prior notification. I am currently at a petrol pump and I am unable to make the payment. This is extremely embarrassing.,Banking,Negative,High,CRD4451,3200,Call,We apologize for the inconvenience. Your card was blocked due to a security alert.
CMP00031,Hindi,Bhopal,डिलीवरी बॉय का व्यवहार बहुत ही बदतमीजी भरा था। उसने मुझसे ऊंची आवाज में बात की और गेट तक आने से मना कर दिया। ऐसे लोगों को काम पर क्यों रखते हो?,The delivery boy's behavior was very rude. He spoke to me in a loud voice and refused to come to the gate. Why do you hire such people?,Staff Behavior,Negative,Medium,ORD66512,1100,Call,हम इस व्यवहार के लिए क्षमा चाहते हैं। हम संबंधित कर्मचारी के खिलाफ सख्त कार्रवाई करेंगे।
CMP00032,Hinglish,Gurgaon,Maine 2000 ka recharge kiya tha par cashback credit nahi hua promo code apply karne ke baad bhi. Terms and conditions to check kari thi maine.,I did a recharge of 2000 but the cashback was not credited even after applying the promo code. I had checked the terms and conditions.,Payment,Neutral,Medium,TXN88312,2000,App,We are checking the eligibility of the promo code and will update you shortly.
CMP00033,English,Noida,Your subscription service renewed automatically even though I had cancelled it last month. I want a reversal of the 999 charge immediately. This is cheating.,Your subscription service renewed automatically even though I had cancelled it last month. I want a reversal of the 999 charge immediately. This is cheating.,Billing,Negative,High,SUB5512,999,Email,We are sorry for the error. The subscription has been cancelled and refund initiated.
CMP00034,Hindi,Patna,मेरे बैंक अकाउंट से 5000 रुपये कट गए लेकिन एटीएम से पैसे नहीं निकले। ट्रांजेक्शन फेल हो गया था। कृपया इसे जल्दी से सुलझाएं।,5000 rupees were deducted from my bank account but no cash came out of the ATM. The transaction had failed. Please resolve this quickly.,Banking,Negative,High,TXN33120,5000,Call,"चिंता न करें, यदि राशि एटीएम से नहीं निकली है तो यह 24 घंटों में वापस आ जाएगी।"
CMP00035,Hinglish,Chandigarh,Courier partner ne mera address galat mark kar diya 'Refused by Customer' bol kar. Jabki main ghar pe hi tha pura din. Ye log jhoot kyun bolte hain?,"The courier partner marked my address incorrectly as 'Refused by Customer', whereas I was at home the whole day. Why do these people lie?",Delivery,Negative,Medium,ORD22109,1450,Chat,We apologize for the false update. We are rescheduling your delivery for today.
CMP00036,English,Kochi,I have been trying to reach your helpline for the last two hours but the line is always busy. Is there any way to get actual support instead of bots?,I have been trying to reach your helpline for the last two hours but the line is always busy. Is there any way to get actual support instead of bots?,Customer Service,Negative,Medium,NONE,0,Chat,We are experiencing high call volumes. A live agent will connect with you shortly.
CMP00037,Hindi,Indore,जो जूते मैंने मंगवाए थे वो दो दिन में ही फट गए। क्या आप घटिया क्वालिटी का सामान बेचते हैं? मुझे पैसे वापस चाहिए।,The shoes I ordered tore in just two days. Do you sell poor quality goods? I want my money back.,Product Quality,Negative,High,ORD11023,3500,App,खराब अनुभव के लिए हमें खेद है। हम जूते वापस मंगवाकर आपका रिफंड प्रोसेस कर देंगे।
CMP00038,Hinglish,Surat,Mera order track nahi ho raha hai app pe. Status 'Processing' dikha raha hai 3 din se. Kya mera order cancel ho gaya hai?,My order is not being tracked on the app. The status shows 'Processing' for 3 days. Is my order cancelled?,Tracking,Neutral,Medium,ORD44561,1800,App,Your order is being dispatched from our warehouse. You will be able to track it soon.
CMP00039,English,Guwahati,The electricity bill for this month is abnormally high. My usage has been the same but the bill is three times higher than usual. Please check the meter reading.,The electricity bill for this month is abnormally high. My usage has been the same but the bill is three times higher than usual. Please check the meter reading.,Billing,Negative,High,BILL3341,8900,Email,We have registered your complaint. A technician will visit to verify the meter reading.
CMP00040,English,Nagpur,Flight 6E-204 was cancelled without any reason and the alternative flight provided is 10 hours later. I am traveling with an infant and cannot wait this long.,Flight 6E-204 was cancelled without any reason and the alternative flight provided is 10 hours later. I am traveling with an infant and cannot wait this long.,Travel,Negative,High,TKT88122,12500,Call,We deeply regret the disruption. We are looking for an earlier flight on another airline.
CMP00041,English,Bangalore,"I received my order today, but the glass vase is completely shattered. This was supposed to be a gift for my mother and now the occasion is ruined. I demand an immediate refund or replacement as soon as possible.","I received my order today, but the glass vase is completely shattered. This was supposed to be a gift for my mother and now the occasion is ruined. I demand an immediate refund or replacement as soon as possible.",damaged_product,negative,high,ORD99231,1250.00,Chat,We apologize for the damage; a replacement has been initiated.
CMP00042,English,Mumbai,"My food order has been delayed by over 90 minutes and the restaurant is not answering. I have tried calling the delivery executive, but his phone is switched off. This is the third time this week your service has failed me.","My food order has been delayed by over 90 minutes and the restaurant is not answering. I have tried calling the delivery executive, but his phone is switched off. This is the third time this week your service has failed me.",delivery_issue,negative,high,ORD88122,540.00,App,We are sorry for the delay; a full refund is processed.
CMP00043,English,Delhi,"I paid for my shoes twice because the first transaction showed a failure on your app. However, money was deducted from my bank account for both attempts. Please reverse the extra charge of 2499 INR immediately.","I paid for my shoes twice because the first transaction showed a failure on your app. However, money was deducted from my bank account for both attempts. Please reverse the extra charge of 2499 INR immediately.",payment_issue,frustrated,high,ORD77341,2499.00,Email,The duplicate amount will be credited within 5-7 business days.
CMP00044,English,Chennai,"The Kanjeevaram saree I received is of very poor quality and looks nothing like the images shown on the website. I want to return it, but your app is not allowing me to select the return option. Kindly fix this glitch.","The Kanjeevaram saree I received is of very poor quality and looks nothing like the images shown on the website. I want to return it, but your app is not allowing me to select the return option. Kindly fix this glitch.",return_issue,neutral,medium,ORD44567,8500.00,Web,Our team is looking into the app glitch; please try again in 2 hours.
CMP00045,English,Hyderabad,Broadband internet has been down in my area for the last 3 days and customer care is useless. I am working from home and this is causing a huge loss to my productivity. No technician has visited despite several complaints.,Broadband internet has been down in my area for the last 3 days and customer care is useless. I am working from home and this is causing a huge loss to my productivity. No technician has visited despite several complaints.,service_outage,negative,high,SUB10293,999.00,Call,Technician has been assigned to your location for a priority fix.
CMP00046,English,Kolkata,"My flight from Kolkata to Delhi was cancelled by the airline, but I haven't received my refund yet. It has been more than 15 days since the cancellation occurred. I need a status update on my 6500 INR.","My flight from Kolkata to Delhi was cancelled by the airline, but I haven't received my refund yet. It has been more than 15 days since the cancellation occurred. I need a status update on my 6500 INR.",refund_issue,frustrated,medium,FLT8829,6500.00,Email,We have escalated your refund request to the airline.
CMP00047,English,Pune,"I tried to withdraw 2000 INR from the ATM, but the machine did not dispense cash while my account was debited. I have the receipt showing a failed transaction from the machine. Please help me get my money back.","I tried to withdraw 2000 INR from the ATM, but the machine did not dispense cash while my account was debited. I have the receipt showing a failed transaction from the machine. Please help me get my money back.",banking_issue,anxious,high,ATM5561,2000.00,Branch,Amount will be auto-reversed within 24 hours as per bank policy.
CMP00048,English,Jaipur,"The sofa set delivered yesterday has a big crack on the wooden frame and the fabric is torn. I have been calling customer support for two hours, but no one is picking up. I feel cheated by your company.","The sofa set delivered yesterday has a big crack on the wooden frame and the fabric is torn. I have been calling customer support for two hours, but no one is picking up. I feel cheated by your company.",damaged_product,negative,high,ORD66710,25000.00,Call,We regret the experience; our manager will call you shortly.
CMP00049,Hindi,Lucknow,मेरा ऑर्डर अभी तक नहीं आया है। पिछले हफ्ते बुक किया था और ट्रैकिंग भी नहीं चल रही। मुझे तुरंत रिफंड चाहिए वरना मैं उपभोक्ता फोरम में शिकायत करूँगा।,My order hasn't arrived yet. I booked it last week and tracking isn't working either. I want an immediate refund or I will complain to the consumer forum.,delivery_issue,negative,high,ORD55123,1200.00,App,"असुविधा के लिए खेद है, आपका ऑर्डर कल तक पहुँच जाएगा।"
CMP00050,Hindi,Patna,"UPI से पैसे कट गए पर दुकानदार को नहीं मिले। बैंक बोल रहा है इंतज़ार करो पर कितना समय लगेगा? मेरी मेहनत की कमाई है, कृपया वापस दिलवाएं।","Money was deducted via UPI but the shopkeeper didn't receive it. The bank says wait but how long? It is my hard-earned money, please help me get it back.",payment_issue,anxious,high,TXN00912,450.00,Chat,"कृपया 48 घंटे प्रतीक्षा करें, पैसा बैंक में वापस आ जाएगा।"
CMP00051,Hindi,Bhopal,"मैंने मोबाइल मंगवाया था और बॉक्स में ईंट निकली है। मैं बहुत परेशान हूँ, ये तो सरेआम धोखाधड़ी है। कृपया तुरंत कार्यवाही करें और मेरे पैसे वापस करें।","I ordered a mobile and found a brick in the box. I am very upset, this is blatant fraud. Please take immediate action and refund my money.",fraud,angry,high,ORD33412,15999.00,Call,"हमने जांच शुरू कर दी है, 24 घंटे में आपको अपडेट मिलेगा।"
CMP00052,Hindi,Indore,मेरे बैंक अकाउंट से बिना बताए 500 रुपये कट गए। कोई जानकारी नहीं मिल रही कि ये चार्जेस किस बात के हैं। जल्दी से मेरे पैसे वापस करो वरना अकाउंट बंद कर दूँगा।,500 rupees were deducted from my bank account without notice. No information is available on what these charges are for. Refund my money quickly or I will close the account.,banking_issue,frustrated,medium,TXN11233,500.00,Email,ये चार्जेस आपके मिनिमम बैलेंस न रखने के कारण लगे हैं।
CMP00053,Hindi,Ahmedabad,एसी की सर्विसिंग के लिए पैसे पहले ही दे दिए पर कोई नहीं आया। फोन भी नहीं उठा रहे आपके सर्विस वाले। बहुत गर्मी है और हम यहाँ परेशान हो रहे हैं।,Paid in advance for AC servicing but no one showed up. Your service people aren't even picking up the phone. It's very hot and we are suffering.,service_issue,negative,high,SER7712,800.00,Web,"तकनीकी खराबी के कारण देरी हुई, कल सुबह सर्विस हो जाएगी।"
CMP00054,Hindi,Varanasi,जो साड़ी मैंने मंगवाई थी उसका रंग फोटो से बिलकुल अलग है। वापस करने की कोशिश की तो कस्टमर केयर वाले मना कर रहे हैं। ये ग्राहकों के साथ धोखा है।,"The saree I ordered has a completely different color from the photo. When I tried to return it, customer care refused. This is cheating the customers.",product_issue,negative,medium,ORD22901,3200.00,App,"हमें खेद है, हम आपके रिटर्न की प्रक्रिया शुरू कर रहे हैं।"
CMP00055,Hinglish,Gurgaon,Bhai mera order abhi tak out for delivery hi dikha raha hai. Subah se wait kar raha hoon aur ab raat ho gayi. Delivery boy phone nahi utha raha. Refund do jaldi.,"Brother, my order is still showing as out for delivery. I've been waiting since morning and now it's night. The delivery boy isn't picking up. Refund quickly.",delivery_issue,frustrated,high,ORD11002,650.00,Chat,Extremely sorry for the delay; your order will be delivered by 10 PM.
CMP00056,Hinglish,Chandigarh,Mera payment fail ho gaya par bank se sms aa gaya ki paisa cut gaya. App mein status abhi bhi pending hi hai. Please check karke mere 2000 return karo.,My payment failed but I got an SMS from the bank that money was deducted. The status in the app is still pending. Please check and return my 2000.,payment_issue,anxious,high,TXN88271,2000.00,App,"Don't worry, failed payments are usually reversed within 3-5 days."
CMP00057,Hinglish,Noida,"Yeh kya bakwas service hai aapki? Customer care call utha nahi raha aur bot wahi purane reply de raha hai. Mera refund 10 din se stuck hai, jaldi action lo.","What nonsense service is this? Customer care isn't picking up and the bot gives the same old replies. My refund is stuck for 10 days, take action quickly.",customer_service,angry,high,ORD99334,1200.00,Call,We are escalating this to our finance team for immediate release.
CMP00058,Hinglish,Surat,"Maine pizza order kiya tha but delivery boy ne thanda pizza diya. Upar se uska behavior bahut rude tha, tameez nahi hai bilkul. I want a refund now and an apology.","I ordered a pizza but the delivery boy gave it cold. On top of that, his behavior was very rude, no manners at all. I want a refund now and an apology.",food_quality,negative,medium,ORD44123,450.00,App,We apologize for the behavior; a credit note has been added to your wallet.
CMP00059,Hinglish,Ludhiana,"Mera subscription auto-renew ho gaya bina meri permission ke. Mujhe yeh service nahi chahiye thi, please cancel karke paise refund karo. Very bad experience really.","My subscription auto-renewed without my permission. I didn't want this service, please cancel and refund the money. Very bad experience really.",subscription_issue,negative,high,SUB6612,1499.00,Email,Subscription cancelled. Refund will reflect in 48 hours.
CMP00060,Hinglish,Kochi,Shoes ka size bahut chota hai aur return policy clear nahi hai. Chat bot bas gol gol ghuma raha hai koi real person baat nahi kar raha. Help me please urgently.,"The shoe size is too small and the return policy isn't clear. The chat bot is just going in circles, no real person is talking. Help me please urgently.",return_issue,frustrated,medium,ORD22381,1800.00,Chat,A support agent will join the chat in 2 minutes to assist you.
CMP00061,English,Mumbai,I am extremely disappointed with the delivery of my order. The package was supposed to arrive two days ago but it is still showing as out for delivery. This is very frustrating as I needed the items for a family function tonight. Please provide an immediate update on the status.,I am extremely disappointed with the delivery of my order. The package was supposed to arrive two days ago but it is still showing as out for delivery. This is very frustrating as I needed the items for a family function tonight. Please provide an immediate update on the status.,delivery_delay,negative,high,ORD99821,1250,WhatsApp,We apologize for the delay. Our team is looking into this urgently.
CMP00062,Hindi,Delhi,मेरा यूपीआई ट्रांजेक्शन फेल हो गया है लेकिन बैंक से पैसे कट गए हैं। मैंने किराने के सामान के लिए ₹500 का भुगतान किया था पर दुकानदार को पैसे नहीं मिले। कृपया मेरे पैसे वापस करें क्योंकि मुझे इसकी बहुत जरूरत है। यह पहली बार नहीं हो रहा है।,My UPI transaction failed but the money was deducted from the bank. I paid ₹500 for groceries but the shopkeeper didn't receive the money. Please refund my money as I need it urgently. This is not the first time this is happening.,payment_issue,negative,high,TXN11223,500,App,Asuvidha ke liye khed hai. Paisa 3-5 dino mein wapas aa jayega.
CMP00063,Hinglish,Bangalore,"Mera order galat deliver hua hai, maine blue shirt mangayi thi par red aa gayi. Size bhi sahi nahi hai aur kapda bahut bekar quality ka hai. Please isse jaldi exchange kijiye ya return le lijiye. I am waiting for your response.","My order was delivered incorrectly, I ordered a blue shirt but received a red one. The size is also not correct and the cloth is of very poor quality. Please exchange this quickly or take a return. I am waiting for your response.",wrong_item,negative,medium,ORD44551,899,Chat,Sorry for the wrong item. Please initiate a return request from the app.
CMP00064,English,Hyderabad,I requested a refund ten days ago after returning the shoes. Your app says the refund is processed but I haven't seen any money in my bank account. This is a large amount and I am very worried. Please provide the UTR number for the transaction.,I requested a refund ten days ago after returning the shoes. Your app says the refund is processed but I haven't seen any money in my bank account. This is a large amount and I am very worried. Please provide the UTR number for the transaction.,refund_issue,negative,high,ORD77102,4500,Email,We have shared the UTR details via email. Please check with your bank.
